"uninjured_rep1" "uninjured_rep2" "regen_rep1" "regen_rep2"
"ENSDARG00000003808" 53751 46786 29090 28140
"ENSDARG00000003811" 3718 2974 5239 5498
"ENSDARG00000003813" 1598 1484 4067 4011
"ENSDARG00000003818" 869 943 1505 1595
"ENSDARG00000003820" 3674 4116 484 1091
"ENSDARG00000003822" 61 53 95 109
"ENSDARG00000003827" 270 259 318 373
"ENSDARG00000003829" 1329 1158 4443 4583
"ENSDARG00000003835" 2026 1640 3548 3503
"ENSDARG00000003836" 727 689 816 780
"ENSDARG00000003841" 192 182 287 310
"ENSDARG00000003845" 511 458 1364 1267
"ENSDARG00000003846" 262 203 579 641
"ENSDARG00000003854" 539 448 1568 1724
"ENSDARG00000003860" 1420 1363 4518 4697
"ENSDARG00000003865" 202 136 109 88
"ENSDARG00000003866" 5273 5115 9908 9251
"ENSDARG00000003867" 49 45 108 91
"ENSDARG00000003869" 314 302 1176 1128
"ENSDARG00000003872" 471 356 1257 1227
"ENSDARG00000003877" 311 358 771 770
"ENSDARG00000003882" 480 452 532 651
"ENSDARG00000003899" 183 148 270 268
"ENSDARG00000003900" 27 31 38 42
"ENSDARG00000003902" 21 14 97 137
"ENSDARG00000003903" 1 2 17 15
"ENSDARG00000003904" 486 338 342 338
"ENSDARG00000003909" 5 15 6 17
"ENSDARG00000003910" 2110 1640 2106 2184
"ENSDARG00000003920" 4491 4266 9929 9581
"ENSDARG00000003925" 93 72 12 8
"ENSDARG00000003927" 821 772 1184 1280
"ENSDARG00000003931" 1406 1500 9106 9116
"ENSDARG00000003933" 8804 6445 9307 8905
"ENSDARG00000003934" 744 83 140 94
"ENSDARG00000003938" 1265 1199 4471 4217
"ENSDARG00000003940" 495 474 1666 1554
"ENSDARG00000003941" 362 414 1114 1234
"ENSDARG00000003944" 4 8 24 17
"ENSDARG00000003952" 18355 15553 28135 30301
"ENSDARG00000003961" 509 633 1747 1705
"ENSDARG00000003963" 1288 1032 1937 1749
"ENSDARG00000003968" 3 2 4 8
"ENSDARG00000003969" 4680 4554 13757 13626
"ENSDARG00000003970" 12 10 7 4
"ENSDARG00000003971" 5 5 7 5
"ENSDARG00000003973" 221 262 499 629
"ENSDARG00000003974" 759 630 1891 1911
"ENSDARG00000003977" 28 20 42 55
"ENSDARG00000003984" 810 739 1647 1584
"ENSDARG00000003989" 222 174 119 163
"ENSDARG00000003991" 431 426 140 198
"ENSDARG00000003994" 84 68 115 94
"ENSDARG00000003998" 13 29 186 204
"ENSDARG00000004015" 342 291 119 126
"ENSDARG00000004017" 647 668 1158 1258
"ENSDARG00000004018" 58 71 252 253
"ENSDARG00000004034" 6606 5921 6479 7990
"ENSDARG00000004037" 589 512 1195 1178
"ENSDARG00000004046" 484 360 653 681
"ENSDARG00000004049" 211 209 2449 2337
"ENSDARG00000004051" 102 101 52 66
"ENSDARG00000004055" 517 440 1024 1097
"ENSDARG00000004059" 442 388 627 598
"ENSDARG00000004060" 11289 8096 3366 3136
"ENSDARG00000004074" 772 668 822 885
"ENSDARG00000004078" 818 856 1137 989
"ENSDARG00000004082" 11 10 3 9
"ENSDARG00000004094" 1611 1528 2090 1847
