"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "threshold" "external_gene_name"
"158" "ENSDARG00000004713" 542.703299998581 3.79882253648154 0.223422394537736 7.13927329097513e-66 1.0574141836371e-63 TRUE "mad2l1"
"160" "ENSDARG00000052633" 2784.2316241169 3.7691426177 0.188116960050855 1.96338502847616e-90 6.88352849793724e-88 TRUE "si:ch211-106n13.3"
"162" "ENSDARG00000021794" 813.060954893656 3.75429155457428 0.215696639897191 5.27035937702037e-69 8.53644115001949e-67 TRUE "hmmr"
"163" "ENSDARG00000044074" 8067.63541090653 3.75293345650039 0.184953896907546 1.13759218472231e-92 4.37609593614636e-90 TRUE "loxl2b"
"166" "ENSDARG00000045676" 4087.60719491723 3.74314393583437 0.201433380087796 3.29634727525255e-78 7.48351889202211e-76 TRUE "calua"
"167" "ENSDARG00000026348" 694.816454572399 3.74251417129684 0.213329195522231 5.90697289129381e-70 9.85574868494968e-68 TRUE "csad"
"168" "ENSDARG00000044132" 5703.52339777555 3.74138029443829 0.161640239443401 1.12767933963904e-119 6.94074103777392e-117 TRUE "ogna"
"169" "ENSDARG00000045568" 51.2848539169292 3.72750305732462 0.605990440764246 1.112604368994e-10 8.20179356355228e-10 TRUE "bcat1"
"170" "ENSDARG00000087554" 1354.67762847277 3.70370036203737 0.193167998086055 4.17244241010395e-83 1.1913828601304e-80 TRUE "cdk1"
"171" "ENSDARG00000094151" 17.4062406239356 3.69852905661513 1.04395867207592 5.90815501905614e-05 0.00021120052860454 TRUE "CR812469.1"
"172" "ENSDARG00000005993" 580.96975504148 3.69793627848234 0.219409688321685 7.95399978921073e-65 1.159483853483e-62 TRUE "prc1b"
"173" "ENSDARG00000070683" 5713.35730907743 3.69112485953631 0.154181242511341 1.02389516662274e-127 7.0897061074875e-125 TRUE "dkk3b"
"175" "ENSDARG00000011821" 1412.18001298983 3.68449604190288 0.257124891206989 9.47618913913085e-48 7.3313410778354e-46 TRUE "plod2"
"176" "ENSDARG00000013719" 320.525955812895 3.65481862944608 0.273157686762964 8.24567423994492e-42 5.22609701198523e-40 TRUE "gtse1"
"177" "ENSDARG00000076443" 38.5763887484634 3.65327928324159 0.725093647175389 4.84998871113411e-08 2.6689874296102e-07 TRUE "si:dkey-183c6.8"
"178" "ENSDARG00000086703" 184.882262944002 3.65318739657448 0.347669099072685 7.14219735061235e-27 2.12478453297433e-25 TRUE "si:dkey-126g1.7"
"180" "ENSDARG00000054911" 48.8991047758631 3.64623166676283 0.631547269199765 1.04325790830861e-09 6.9455069180336e-09 TRUE "tmsb"
"182" "ENSDARG00000006868" 29.1373808946697 3.64198677825357 0.778081298751237 3.81249377221676e-07 1.86694908078302e-06 TRUE "trh"
"183" "ENSDARG00000089908" 49.9118913575819 3.641502201676 0.611115772957194 2.84266022729415e-10 2.00849898763689e-09 TRUE "DEPDC4"
"184" "ENSDARG00000017369" 1161.67123382152 3.63747090339346 0.185332416104178 6.65019022104875e-87 2.19274188752842e-84 TRUE "sema3d"
"185" "ENSDARG00000024759" 378.318062006313 3.62805826328174 0.244100093462595 6.03262773556808e-51 5.14109816590859e-49 TRUE "inhbab"
"186" "ENSDARG00000087393" 286.608821676395 3.62483014210652 0.280402904399919 3.37936659189801e-39 1.92193668369197e-37 TRUE "prr11"
"188" "ENSDARG00000053906" 738.637601873149 3.61096814318105 0.204136863024184 4.05262599631573e-71 7.0594705798715e-69 TRUE "angpt2b"
"190" "ENSDARG00000093608" 83.0890386243845 3.60884883676019 0.454403654854087 2.69051973183391e-16 3.55022987196778e-15 TRUE "ccl34b.1"
"191" "ENSDARG00000034165" 60.7568847867048 3.60802584114841 0.546764307434181 4.53447617580514e-12 3.83836756238616e-11 TRUE "lingo1a"
"192" "ENSDARG00000069254" 28.9888816030285 3.60665859145277 0.797933770965594 7.30859653567622e-07 3.45555135282732e-06 TRUE "chrm4a"
